"6173","Assetmonk","IT","A7 , Any","25000","Hyderabad","5","Fintech and Saas Product","Advance chatbot for user interaction","Blockchain application for investment management.","Saas Product development",
"6854","EConsystems (VIS AI Labs)","IT","A3 , A7 , A8 , AA , Any , C6","20000","Chennai","8","Focus Application Development","45 degree - 3D Camera Pallet Dimension","Envelope Mode - 3D Camera Dimension","People Counting V-Tracking","Motion Capturing Algorithm for 360 Degree Broadcast Camera for Sports","Iris and Data Tagging for Biometric Identification using Metadata",
"6383","Indus Insights and Analytical Services Pvt Ltd","Finance and Mgmt","A1 , A2 , A3 , A4 , A8 , AA , AB , A4A1 , A8A1 , A1AA , A2AA , A3AB","100000","Gurugram","20","Advanced Analytics and Data Science Internship â Role 1","Advanced Analytics and Data Science Internship â Role 2",
"6563","Technicolor India","IT","AnyA7","45000","Bengaluru","4","Technical Assistant ",
"6598","Acceldata Technology Pvt. Ltd.","IT","A7","50000","Bengaluru","8","CI/CD Pipeline","As an intern in the Acceldata Torch team, you will be working on a data processing pipeline that validates data against multiple compliance policies. In the process, you will be working on various features within the Torch Platform like Data Catalog, Quality analysis, Business glossary, etc.","Product deployment Automation.","ACCELDATA builds the tools for Data scientists and Data engineers. Bring your insight, imagination, and a healthy disregard for the impossible. Together, we can build for everyone.","Customer discovery and product planning",
"3779","Aerchain (Tech)","IT","Any","30000","Bengaluru","4","Software Development",
"5117","Aerchain - Non Tech","Finance and Mgmt","Any","20000","Bengaluru","6","Product Development","Sales Development","Customer Success and Support",
"2767","AFour Technologies Pvt. Ltd.","IT","-","50000","Pune","3","Design and develop components for an enterprise software system",
"5290","AgNext Technologies","IT","A3 , A7 , AA","30000","Mohali","12","IOT - Cloud Services","Qualix Software Suite","SpecX","Visio",
"6074","Airbnb Capability Center","Finance and Mgmt","A1 , A2 , A3 , A4 , A7 , A8 , AA , AB , AnyA1 , AnyA2 , AnyA3 , AnyA4 , AnyA7 , AnyA8 , AnyAA","65000","Gurugram","9","Business Process Improvement ","Analytics ","Engineering -Notification and Dashboard",
"6453","Airmeet - Data Analytics","Finance and Mgmt","A1 , A3 , A4 , A7 , AA","35000","Bengaluru","4","Airmeet Analytics",
"6455","Airmeet - Sales Enablement and Product Marketing","Finance and Mgmt","B3","35000","Bengaluru","3","Sales and Product strategy ",
"3617","AlmaConnect","Finance and Mgmt","Any","15000","Gurugram","4","Projects in the domain of Business Development/Marketing/Operations",
"6722","AlphaSense","IT","Any","45000","Pune","3","Content Onboarding Portal","Configurable Data Storage","Configurable emailer platform","Integrations platform for third party data ingestion tools","Dashboard portal for user personas",
"4035","Amazon - Machine Learning","IT","A7B1 , A7B2 , A7B4 , A7C6","90000","Bengaluru","2","Applied Scientist Intern",
"6300","American Express - AI Lab","IT","A3 , A7","125000","Bengaluru","3","Detect Out of Pattern Themes in Amex Complaints","Information extraction from financial documents","Decision tree surrogate for explainability",
"6096","American Express - AI Labs","IT","A3 , A7 , A8 , AA , AnyA3 , AnyA7 , AnyA8 , AnyAA","125000","Gurugram","2","Merchant Prospect AI Scanner","Automation of case review mechanism adopted by Amex modeling community",
"6825","American Express - CFR Marketing Decision Science","","A7","125000","Gurugram","3","Global Prospect Data Intelligence","TrackOn","Neighborhood Intelligence Engine",
